ontime, MNN, MPN, duration, channel
-1.00, 74.00, 68.00, 1.00, 0.00
0.00, 47.00, 52.00, 1.00, 1.00
0.00, 74.00, 68.00, 0.33, 0.00
0.33, 76.00, 69.00, 0.33, 0.00
0.67, 74.00, 68.00, 0.33, 0.00
1.00, 54.00, 56.00, 1.00, 1.00
1.00, 62.00, 61.00, 1.00, 1.00
1.00, 73.00, 67.00, 1.00, 0.00
2.00, 54.00, 56.00, 1.00, 1.00
2.00, 62.00, 61.00, 1.00, 1.00
2.00, 71.00, 66.00, 1.00, 0.00
3.00, 42.00, 49.00, 1.00, 1.00
3.00, 70.00, 65.00, 0.50, 0.00
3.50, 67.00, 64.00, 0.50, 0.00
3.50, 79.00, 71.00, 0.50, 0.00
4.00, 54.00, 56.00, 1.00, 1.00
4.00, 58.00, 58.00, 1.00, 1.00
4.00, 64.00, 62.00, 1.00, 1.00
4.00, 66.00, 63.00, 2.00, 0.00
4.00, 78.00, 70.00, 2.00, 0.00
5.00, 54.00, 56.00, 1.00, 1.00
5.00, 58.00, 58.00, 1.00, 1.00
5.00, 64.00, 62.00, 1.00, 1.00
6.00, 47.00, 52.00, 1.00, 1.00
6.00, 74.00, 68.00, 0.33, 0.00
6.33, 76.00, 69.00, 0.33, 0.00
6.67, 74.00, 68.00, 0.33, 0.00
7.00, 54.00, 56.00, 1.00, 1.00
7.00, 62.00, 61.00, 1.00, 1.00
7.00, 73.00, 67.00, 1.00, 0.00
8.00, 54.00, 56.00, 1.00, 1.00
8.00, 62.00, 61.00, 1.00, 1.00
8.00, 71.00, 66.00, 1.00, 0.00
9.00, 42.00, 49.00, 1.00, 1.00
9.00, 69.00, 65.00, 0.50, 0.00
9.50, 68.00, 64.00, 0.50, 0.00
10.00, 54.00, 56.00, 1.00, 1.00
10.00, 57.00, 58.00, 1.00, 1.00
10.00, 61.00, 60.00, 1.00, 1.00
10.00, 66.00, 63.00, 1.00, 0.00
11.00, 54.00, 56.00, 1.00, 1.00
11.00, 57.00, 58.00, 1.00, 1.00
11.00, 61.00, 60.00, 1.00, 1.00
12.00, 43.00, 50.00, 1.00, 1.00
12.00, 71.00, 66.00, 0.33, 0.00
12.33, 73.00, 67.00, 0.33, 0.00
12.67, 71.00, 66.00, 0.33, 0.00
13.00, 50.00, 54.00, 1.00, 1.00
13.00, 59.00, 59.00, 1.00, 1.00
13.00, 69.00, 65.00, 1.00, 0.00
14.00, 50.00, 54.00, 1.00, 1.00
14.00, 59.00, 59.00, 1.00, 1.00
14.00, 67.00, 64.00, 1.00, 0.00
15.00, 38.00, 47.00, 1.00, 1.00
15.00, 66.00, 63.00, 0.50, 0.00
15.50, 64.00, 62.00, 0.50, 0.00
15.50, 76.00, 69.00, 0.50, 0.00
16.00, 50.00, 54.00, 1.00, 1.00
16.00, 57.00, 58.00, 1.00, 1.00
16.00, 62.00, 61.00, 2.00, 0.00
16.00, 74.00, 68.00, 2.00, 0.00
17.00, 50.00, 54.00, 1.00, 1.00
17.00, 57.00, 58.00, 1.00, 1.00
18.00, 40.00, 48.00, 1.00, 1.00
18.00, 67.00, 64.00, 0.33, 0.00
18.33, 69.00, 65.00, 0.33, 0.00
18.67, 67.00, 64.00, 0.33, 0.00
19.00, 47.00, 52.00, 1.00, 1.00
19.00, 49.00, 53.00, 1.00, 1.00
19.00, 55.00, 57.00, 1.00, 1.00
19.00, 66.00, 63.00, 1.00, 0.00
20.00, 42.00, 49.00, 1.00, 1.00
20.00, 46.00, 51.00, 1.00, 1.00
