(-1 69 65 3/2 0)
(0 50 54 1 1)
(0 66 63 1 0)
(1/2 73 67 1/2 0)
(1 50 54 1 1)
(1 57 58 1 1)
(1 62 61 1 1)
(1 66 63 1 0)
(1 74 68 1/2 0)
(3/2 76 69 1/2 0)
(2 50 54 1 1)
(2 57 58 1 1)
(2 62 61 1 1)
(2 66 63 1 0)
(2 78 70 1/2 0)
(5/2 79 71 1/2 0)
(3 45 51 1 1)
(3 78 70 1 0)
(4 52 55 1 1)
(4 57 58 1 1)
(4 61 60 1 1)
(4 67 64 1 0)
(4 76 69 1/2 0)
(9/2 74 68 1/2 0)
(5 52 55 1 1)
(5 57 58 1 1)
(5 61 60 1 1)
(5 67 64 1 0)
(5 73 67 1/2 0)
(11/2 71 66 1/2 0)
(6 38 47 1 1)
(6 69 65 1/2 0)
(13/2 74 68 1/2 0)
(7 50 54 1 1)
(7 57 58 1 1)
(7 62 61 1 1)
(7 66 63 1 0)
(7 74 68 1/3 0)
(22/3 76 69 1/3 0)
(23/3 74 68 1/3 0)
(8 50 54 1 1)
(8 57 58 1 1)
(8 62 61 1 1)
(8 66 63 1 0)
(8 73 67 1/2 0)
(17/2 71 66 1/2 0)
(9 45 51 1 1)
(9 73 67 2 0)
(10 57 58 1 1)
(10 64 62 1 0)
(10 69 65 1 0)
(11 57 58 1 1)
(11 64 62 1 1)
(11 67 64 1 0)
(11 69 65 1 0)
(12 50 54 1 1)
(12 69 65 1/2 0)
(25/2 73 67 1/2 0)
(13 57 58 1 1)
(13 62 61 1 1)
(13 66 63 1 0)
(13 74 68 1/2 0)
(27/2 76 69 1/2 0)
(14 50 54 1 1)
(14 57 58 1 1)
(14 62 61 1 1)
(14 66 63 1 0)
(14 78 70 1/2 0)
(29/2 79 71 1/2 0)
(15 43 50 1 1)
(15 78 70 1 0)
(16 59 59 1 1)
(16 64 62 1 1)
(16 67 64 1 0)
(16 76 69 1/2 0)
(33/2 74 68 1/2 0)
(17 52 55 1 1)
(17 59 59 1 1)
(17 64 62 1 1)
(17 67 64 1 0)
(17 73 67 1/2 0)
(35/2 71 66 1/2 0)
(18 45 51 1 1)
(18 69 65 1/2 0)
(37/2 73 67 1/2 0)
(19 57 58 1 1)
(19 64 62 1 1)
(19 67 64 1 0)
(19 73 67 1/3 0)
(58/3 74 68 1/3 0)
(59/3 73 67 1/3 0)
(20 57 58 1 1)
(20 64 62 1 1)
(20 67 64 1 0)
(20 71 66 1/2 0)
(41/2 69 65 1/2 0)
(21 38 47 1 1)
(21 74 68 3 0)
(22 50 54 1 1)
(22 57 58 1 1)
(22 62 61 1 1)
(22 66 63 1 0)
(23 50 54 2 1)
(23 57 58 2 1)
(23 62 61 2 1)
(23 66 63 2 0)
(24 69 65 1/2 0)
(49/2 73 67 1/2 0)
(25 50 54 1 1)
(25 57 58 1 1)
(25 62 61 1 1)
(25 66 63 1 0)
(25 74 68 1/2 0)
(51/2 76 69 1/2 0)
(26 50 54 1 1)
(26 57 58 1 1)
(26 62 61 1 1)
(26 66 63 1 0)
(26 78 70 1/2 0)
(53/2 79 71 1/2 0)
(27 45 51 1 1)
(27 78 70 1 0)
(28 52 55 1 1)
(28 57 58 1 1)
(28 61 60 1 1)
(28 67 64 1 0)
(28 76 69 1/2 0)
(57/2 74 68 1/2 0)
